2024-05-08 17:03:32,879 INFO    StreamThr :78343 [internal.py:wandb_internal():85] W&B internal server running at pid: 78343, started at: 2024-05-08 17:03:32.879133
2024-05-08 17:03:32,880 DEBUG   HandlerThread:78343 [handler.py:handle_request():158] handle_request: status
2024-05-08 17:03:32,882 INFO    WriterThread:78343 [datastore.py:open_for_write():87] open: /home/stanlo229/Research/Repos/MolFoundation/t5-chem/wandb/run-20240508_170332-lpsr74ik/run-lpsr74ik.wandb
2024-05-08 17:03:32,882 DEBUG   SenderThread:78343 [sender.py:send():378] send: header
2024-05-08 17:03:32,882 DEBUG   SenderThread:78343 [sender.py:send():378] send: run
2024-05-08 17:03:33,217 INFO    SenderThread:78343 [dir_watcher.py:__init__():211] watching files in: /home/stanlo229/Research/Repos/MolFoundation/t5-chem/wandb/run-20240508_170332-lpsr74ik/files
2024-05-08 17:03:33,217 INFO    SenderThread:78343 [sender.py:_start_run_threads():1123] run started: lpsr74ik with start time 1715202212.879134
2024-05-08 17:03:33,220 DEBUG   HandlerThread:78343 [handler.py:handle_request():158] handle_request: check_version
2024-05-08 17:03:33,221 DEBUG   SenderThread:78343 [sender.py:send_request():405] send_request: check_version
2024-05-08 17:03:33,392 DEBUG   HandlerThread:78343 [handler.py:handle_request():158] handle_request: run_start
2024-05-08 17:03:33,402 DEBUG   HandlerThread:78343 [system_info.py:__init__():26] System info init
2024-05-08 17:03:33,402 DEBUG   HandlerThread:78343 [system_info.py:__init__():41] System info init done
2024-05-08 17:03:33,403 INFO    HandlerThread:78343 [system_monitor.py:start():194] Starting system monitor
2024-05-08 17:03:33,403 INFO    SystemMonitor:78343 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-08 17:03:33,403 INFO    HandlerThread:78343 [system_monitor.py:probe():214] Collecting system info
2024-05-08 17:03:33,403 INFO    SystemMonitor:78343 [interfaces.py:start():188] Started cpu monitoring
2024-05-08 17:03:33,404 INFO    SystemMonitor:78343 [interfaces.py:start():188] Started disk monitoring
2024-05-08 17:03:33,405 INFO    SystemMonitor:78343 [interfaces.py:start():188] Started gpu monitoring
2024-05-08 17:03:33,405 INFO    SystemMonitor:78343 [interfaces.py:start():188] Started memory monitoring
2024-05-08 17:03:33,406 INFO    SystemMonitor:78343 [interfaces.py:start():188] Started network monitoring
2024-05-08 17:03:33,411 DEBUG   HandlerThread:78343 [system_info.py:probe():150] Probing system
2024-05-08 17:03:33,412 DEBUG   HandlerThread:78343 [system_info.py:_probe_git():135] Probing git
2024-05-08 17:03:33,415 DEBUG   HandlerThread:78343 [system_info.py:_probe_git():143] Probing git done
2024-05-08 17:03:33,415 DEBUG   HandlerThread:78343 [system_info.py:probe():198] Probing system done
